,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Item Nr.,Description ,Content/L,Preis,Preis per L
PKW-Motorenöle,,,,
210010200,MÖLLER SAE 0W-8,200,542.00 €,2.71 €
210010060,JASO GLV-1,60,165.60 €,2.76 €
210010005,,5,14.30 €,2.86 €
210010004,,4,11.64 €,2.91 €
210010001,,1,3.12 €,3.12 €
210020200,MÖLLER SP SAE 0W-16 ,200,426.00 €,2.13 €
210020060,API SP Resource Conserving;ILSAC GF-6B,60,131.40 €,2.19 €
210020005,,5,11.70 €,2.34 €
210020004,,4,9.56 €,2.39 €
210020001,,1,2.61 €,2.61 €
210030200,MÖLLER C5 SAE 0W-20 ,200,650.00 €,3.25 €
210030060,"ACEA C5, API SN",60,198.60 €,3.31 €
210030005,"MB 229.71, JLR STJLR 51.5122",5,17.30 €,3.46 €
210030004,,4,14.04 €,3.51 €
210030001,,1,3.73 €,3.73 €
210040200,MÖLLER C6 SAE 0W-20,200,698.00 €,3.49 €
210040060,ACEA C5; C6,60,213.00 €,3.55 €
210040005,BMW Longlife 17 FE+,5,18.50 €,3.70 €
210040004,"MB 229.71, JLR STJLR 03-5006-16, Fiat 9.55535-GSX",4,15.00 €,3.75 €
210040001,"API SP (RC), ILSAC GF-6A, OV 040 1547 – A20",1,3.97 €,3.97 €
210050200,MÖLLER SP  SAE 0W-20,200,440.00 €,2.20 €
210050060,API SP Resource Conserving; ILSAC GF-6A;,60,135.60 €,2.26 €
210050020,Meets the requirements of:;,,,
210050005,GM dexos 1 Gen 3;Chrysler MS 6395;,5,12.05 €,2.41 €
210050004,Fiat 9.55535-CR1;Ford WSS-M2C947-A/B1 / WSS-M2C962-A1;,4,9.84 €,2.46 €
210050001,GM 6094M,1,2.68 €,2.68 €
210060200,MÖLLER 509 SAE 0W-20,200,720.00 €,3.60 €
210060060,"ACEA C5; C6, API SP, ILSAC GF-6A",60,219.60 €,3.66 €
210060005,VW 508 00/509 00,5,19.05 €,3.81 €
210060004,FORD WSS-M2C956-A1,4,15.44 €,3.86 €
210060001,Porsche C20,1,4.08 €,4.08 €
210070200,MÖLLER SP  SAE 0W-30,200,666.00 €,3.33 €
210070060,"API SP, ILSAC GF-6A, ACEA C2",60,202.80 €,3.38 €
210070005,BMW Longlife 12 FE,5,17.65 €,3.53 €
210070004,"MB 229.61, MB 227.61",4,14.32 €,3.58 €
210070001,Ford WSS-M2C950-A,1,3.79 €,3.79 €
210080200,MÖLLER 507 SAE 0W-30,200,786.00 €,3.93 €
210080060,"API SN, ACEA C3",60,238.80 €,3.98 €
210080005,"VW 504 00 / 507 00, Porsche C30",5,20.65 €,4.13 €
210080004,BMW Longlife-04,4,16.72 €,4.18 €
210080001,"MB 229.52, MB 225.51",1,4.39 €,4.39 €
210150200,MÖLLER C5 SAE 5W-20,200,538.00 €,2.69 €
210150060,"ACEA C5; API SP, SN / CF",60,165.00 €,2.75 €
210150005,FORD WSS-M2C948-A/B,5,14.50 €,2.90 €
210150004,ILSAC GF-5,4,11.80 €,2.95 €
210150001,Jaguar / Land Rover ST JLR.03.5004,1,3.17 €,3.17 €
210160200,MÖLLER SP SAE 5W-20,200,406.00 €,2.03 €
210160060,ILSAC GF-6A;,60,125.40 €,2.09 €
210160005,GM dexos 1 Gen 3;Chrysler MS 6395;,5,11.20 €,2.24 €
210160004,Fiat 9.55535-CR1;,4,9.16 €,2.29 €
210160001,Ford WSS-M2C945-A/B1 / WSS-M2C960-A1;GM 6094M,1,2.51 €,2.51 €
210170200,MÖLLER SP SAE 5W-30,200,450.00 €,2.25 €
210170060,"API SP, ILSAC GF-6A  ",60,138.00 €,2.30 €
210170020,"Hyundai Subaru, Kia, Suzuki, Isuzu, Toyota, Lexus, Daihatsu, Mazda",20,48.00 €,2.40 €
210170005,"Honda/Acura HTO-06,  Nissan, GM dexos1 Gen 3,  ",5,12.25 €,2.45 €
210170004,"Ford WSS-M2C946-B1 , GM 6094M/4718M Ford WSS-M2C961-A ",4,10.00 €,2.50 €
210170001,"Ford WSS-M2C929-A, Opel OV 040 1547 - G30, Fiat 9.55535-CR1 ",1,2.71 €,2.71 €
210180200,MÖLLER 507 SAE 5W-30,200,446.00 €,2.23 €
210180060,"ACEA C2, C3; API SN;",60,136.80 €,2.28 €
210180005,BMW Longlife-04;,5,12.15 €,2.43 €
210180004,MB 229.31/229.51/229.52;,4,9.92 €,2.48 €
210180001,Porsche C30; VW 504.00/507.00,1,2.69 €,2.69 €
210190200,MÖLLER SAE 5W-30,200,476.00 €,2.38 €
210190060,"API SN, ACEA C3, Meets the requirements of:;GM dexos 1 Gen 3;",60,145.80 €,2.43 €
210190005,Opel OV 040 1547 - G30;Chrysler MS 6395;Fiat 9.55535-CR1;,5,12.90 €,2.58 €
210190004,Ford WSS-M2C946-A/B1 / M2C961-A1 / M2C929-A;,4,10.52 €,2.63 €
210190001,GM 6094M / 4718M,1,2.84 €,2.84 €
210200200,MÖLLER C4 SAE 5W-30,200,510.00 €,2.55 €
210200060,"API SN, ACEA C4",60,156.00 €,2.60 €
210200005,MB 226.51,5,13.75 €,2.75 €
210200004,Renault RN 020 DPF,4,11.20 €,2.80 €
210200001,,1,3.01 €,3.01 €
210210200,MÖLLER SP 507 SAE 5W-30,200,754.00 €,3.77 €
210210060,"API SP, ACEA C3",60,229.20 €,3.82 €
210210005,"BMW Longlife-04, MB 229.52/229.51/229.31, ",5,19.85 €,3.97 €
210210004,VW 504 00/507 00,4,16.08 €,4.02 €
210210001,"OV 040 1547 – D30 & G30, Porsche C30",1,4.23 €,4.23 €
210220200,MÖLLER G1 SAE 5W-40,200,398.00 €,1.99 €
210220060,"API SN/CF, ACEA A3/B4",60,122.40 €,2.04 €
210220005,,5,10.95 €,2.19 €
210220004,,4,8.96 €,2.24 €
210220001,,1,2.45 €,2.45 €
210230200,MÖLLER LL01 SAE 5W-40,200,460.00 €,2.30 €
210230060,"API SN/CF, ACEA A3/B4",60,141.00 €,2.35 €
210230005,"MB 229.5, BMW Longlife-01",5,12.50 €,2.50 €
210230004,VW 501.01/505.00,4,10.20 €,2.55 €
210230001,,1,2.76 €,2.76 €
210280200,MÖLLER SN Plus SAE 5W-40,200,587.20 €,2.94 €
210280060,"API SN-PLUS, ACEA C3",60,179.16 €,2.99 €
210280005,"BMW Longlife-04, MB 229.31/229.51/226.5, ",5,15.70 €,3.14 €
210280004,VW 502 00/505 00/505 01,4,12.76 €,3.19 €
210280001,"Porsche A40, Ranult RN 700/710, Ford WSS-M2C917-A",1,3.40 €,3.40 €
,"Fiat 9.55535-S2, GM dexos2™",,,
210290200,MÖLLER LL04  SAE 5W-40,200,466.00 €,2.33 €
210290060,"API SN, ACEA C3",60,142.80 €,2.38 €
210290005,"BMW Longlife-04, GM dexos2™, MB 229.51/229.31, ",5,12.65 €,2.53 €
210290004,VW 502 00/505 00/505 01,4,10.32 €,2.58 €
210290001,,1,2.79 €,2.79 €
210300200,MÖLLER SN  SAE 10W-40,200,358.00 €,1.79 €
210300060,"API SN/CF, ACEA A3/B4",60,110.40 €,1.84 €
210300005,MB 229.3,5,9.95 €,1.99 €
210300004,Renault RN0700,4,8.16 €,2.04 €
210300001,VW 505.00,1,2.25 €,2.25 €
210310200,MÖLLER SL 10W-40 ,200,344.00 €,1.72 €
210310060,"API SL/CF, ACEA A3/B4",60,106.20 €,1.77 €
210310005,,5,9.60 €,1.92 €
210310004,,4,7.88 €,1.97 €
210310001,,1,2.18 €,2.18 €
210320200,MÖLLER SP 10W-40,200,376.00 €,1.88 €
210320060,"API SN/CF, ACEA A3/B4",60,115.80 €,1.93 €
210320005,ILSAC GF-6A,5,10.15 €,2.03 €
210320004,,4,8.32 €,2.08 €
210320001,,1,2.23 €,2.23 €
210330200,MÖLLER SN SAE 15W-40,200,376.00 €,1.88 €
210330060,"API SN/CF, ACEA A3/B4",60,115.80 €,1.93 €
210330005,MB 229.1,5,10.15 €,2.03 €
210330004,"VW 501 01/505 00, Fiat 9.55535-G2/D2",4,8.32 €,2.08 €
210330001,,1,2.23 €,2.23 €
210340200,MÖLLER SN SAE 20W-50,200,396.00 €,1.98 €
210340060,"API SN/CF, ACEA A3/B4",60,121.80 €,2.03 €
210340005,MB 229.1,5,10.90 €,2.18 €
210340004,VW 501 01/505 00,4,8.92 €,2.23 €
210340001,,1,2.44 €,2.44 €
210350200,MÖLLER SN 10W-30 ,200,416.00 €,2.08 €
210350060,"API SN/CF, ACEA A3/B4",60,127.80 €,2.13 €
210350005,ILSAC GF-6A,5,11.40 €,2.28 €
210350004,,4,9.32 €,2.33 €
210350001,,1,2.54 €,2.54 €
,,,,
Truck Oils,,,,
,,,,
210450200,MÖLLER Truck Ci-4 SAE 10W-40,200,394.00 €,1.97 €
210450060,SAE 10W-40 ACEA E4 / E7,60,121.20 €,2.02 €
210450020,API CI-4 + UHPD,20,42.40 €,2.12 €
210450005,,5,10.85 €,2.17 €
,,,,
210460200,MÖLLER Truck Ci-4 SAE 15W-40,200,380.00 €,1.90 €
210460060,SAE 15W-40 API CI-4/SL,60,117.00 €,1.95 €
210460020,ACEA E7 / ACEA A3/B3/B4,20,40.00 €,2.00 €
210460005,Deutz DQC III-10,5,10.25 €,2.05 €
,Mack EO-N / MAN M 3275-1,,,
210500200,MÖLLER Truck Ci-4 SAE 20W-50,200,382.00 €,1.91 €
210500060,SAE 20W-50 API Ci-4/SL,60,117.60 €,1.96 €
210500020,ACEA E7 ACEA A3/B3/B4,20,40.20 €,2.01 €
210500005,,5,10.30 €,2.06 €
Mono Grade Oils,,,,
,,,,
210550200,MÖLLER Truck HD SAE 40,200,372.60 €,1.86 €
210550060,ACEA E2;API SG/CF,60,114.60 €,1.91 €
210550020,MB 227.0/228.0;,20,39.20 €,1.96 €
210550005,MAN 270,5,10.46 €,2.09 €
210550001,,1,2.42 €,2.42 €
210560200,MÖLLER Truck HD SAE 50,200,380.60 €,1.90 €
210560060,ACEA E2;API SG/CF,60,117.00 €,1.95 €
210560020,MB 227.0/228.0;,20,40.00 €,2.00 €
210560005,MAN 270,5,10.75 €,2.15 €
210570200,MÖLLER Truck HD SAE 60,200,383.00 €,1.92 €
210570060,ACEA E2;API SG/CF,60,118.20 €,1.97 €
